Test Averages
86
71
33
68
84
47
66
85
71
70
77
86
88
62
70
50
52
49
82
71
90
32
105
85
53
102
98
84
105
98
81
50
99
99
99
102
96
101
91
97
67
101
104
96
84
98
101
48
93
98
89
100
82
99
97
94
93
60
102
68
93
90
61
60
75
91
64
28
82
90
91
73
41
86
74
74
105
42
95
99
98
84
95
99
94
92
97
80
98
100
101
83
100
98
90
99
101
95
101
103
71
87
